Latitude,Longitude,File_Prefix
-53.00097608,-67.6030382,lg2007_001_21600_nb150
-53.01266774666666,-67.58364395999999,lg2007_001_21600_nb150
-53.02442249333333,-67.56444153333334,lg2007_001_21600_nb150
-53.03600416,-67.54547704,lg2007_001_21600_nb150
-53.04752249333333,-67.52649896,lg2007_001_21600_nb150
-53.05888032,-67.50767153333334,lg2007_001_21600_nb150
-53.07014622666666,-67.48893972,lg2007_001_21600_nb150
-53.08135082666666,-67.47041754666667,lg2007_001_21600_nb150
-53.09245006666666,-67.45216153333334,lg2007_001_21600_nb150
-53.10353270666666,-67.43408361333333,lg2007_001_21600_nb150
-53.11460053666666,-67.41611927333332,lg2007_001_21600_nb150
-53.12554795833333,-67.39819653833332,lg2007_001_21600_nb150
-53.13646836666666,-67.38006977666666,lg2007_001_21600_nb150
-53.14722861833333,-67.362136695,lg2007_001_21600_nb150
-53.15793695166667,-67.34412402166666,lg2007_001_21600_nb150
-53.16852644833333,-67.32589811,lg2007_001_21600_nb150
-53.17902412166666,-67.307909525,lg2007_001_21600_nb150
-53.189481196666655,-67.29005993333334,lg2007_001_21600_nb150
-53.19981220333333,-67.27219028,lg2007_001_21600_nb150
-53.21013953,-67.25443568833332,lg2007_001_21600_nb150
-53.22043195166667,-67.236679525,lg2007_001_21600_nb150
-53.23066104,-67.21907012333332,lg2007_001_21600_nb150
-53.24086412166667,-67.201369525,lg2007_001_21600_nb150
-53.25108836666666,-67.18396002833335,lg2007_001_21600_nb150
-53.25343336666666,-67.179964525,lg2007_001_21600_nb150
-53.25349619666666,-67.17984760666667,lg2007_001_28800_nb150
-53.26363302,-67.1624366,lg2007_001_28800_nb150
-53.27370937333333,-67.14486719833333,lg2007_001_28800_nb150
-53.28385144833333,-67.12730528,lg2007_001_28800_nb150
-53.29389644833333,-67.10986002833333,lg2007_001_28800_nb150
-53.303817863333336,-67.09262719833333,lg2007_001_28800_nb150
-53.31382953,-67.07537043666667,lg2007_001_28800_nb150
-53.32427119666667,-67.05945936833332,lg2007_001_28800_nb150
-53.335195285000005,-67.04404361333333,lg2007_001_28800_nb150
-53.345568115,-67.02748270166666,lg2007_001_28800_nb150
-53.35572003333333,-67.01054068833332,lg2007_001_28800_nb150
-53.36570427833333,-66.99333311,lg2007_001_28800_nb150
-53.37580094499999,-66.97621144333333,lg2007_001_28800_nb150
-53.38591261166667,-66.95890993333333,lg2007_001_28800_nb150
-53.396176196666666,-66.94166568833333,lg2007_001_28800_nb150
-53.40634761166666,-66.92464210333333,lg2007_001_28800_nb150
-53.416638775,-66.90738311,lg2007_001_28800_nb150
-53.42682452999999,-66.88993361333334,lg2007_001_28800_nb150
-53.43703978166666,-66.87239619166667,lg2007_001_28800_nb150
-53.447453115,-66.85497109666666,lg2007_001_28800_nb150
-53.45770745499999,-66.83704002833333,lg2007_001_28800_nb150
-53.468098115,-66.81933785833333,lg2007_001_28800_nb150
-53.47852236,-66.801862355,lg2007_001_28800_nb150
-53.487978115,-66.78675845666666,lg2007_001_28800_nb150
-53.48801104,-66.78671210333333,lg2007_001_36000_nb150
-53.49890453,-66.769616695,lg2007_001_36000_nb150
-53.50986169999999,-66.75251194666666,lg2007_001_36000_nb150
-53.520803115,-66.73491936833334,lg2007_001_36000_nb150
-53.531688115,-66.716877355,lg2007_001_36000_nb150
-53.54181195166666,-66.69707936833333,lg2007_001_36000_nb150
-53.55284953,-66.67892185166667,lg2007_001_36000_nb150
-53.56394745499999,-66.66056836166666,lg2007_001_36000_nb150
-53.57513619666666,-66.64206043666665,lg2007_001_36000_nb150
-53.586283618333326,-66.62338534166666,lg2007_001_36000_nb150
-53.59765154333333,-66.60458694666666,lg2007_001_36000_nb150
-53.60889195166666,-66.58560568833333,lg2007_001_36000_nb150
-53.62034361833333,-66.56672094000001,lg2007_001_36000_nb150
-53.63172195166666,-66.54749877,lg2007_001_36000_nb150
-53.643164373333335,-66.52818917833332,lg2007_001_36000_nb150
-53.654448618333326,-66.50852094,lg2007_001_36000_nb150
-53.665813366666654,-66.48861543666666,lg2007_001_36000_nb150
-53.67703861833332,-66.46840260666667,lg2007_001_36000_nb150
-53.68839361833334,-66.448140185,lg2007_001_36000_nb150
-53.699719625,-66.42768751166668,lg2007_001_36000_nb150
-53.71133195166666,-66.40727043666666,lg2007_001_36000_nb150
-53.72307053666667,-66.38691351833333,lg2007_001_36000_nb150
-53.735140285,-66.366700185,lg2007_001_36000_nb150
-53.74130053666666,-66.35645760666667,lg2007_001_36000_nb150
-53.74137412166666,-66.356341695,lg2007_001_43200_nb150
