Latitude,Longitude,File_Prefix
-52.86813683333333,-67.82069833333334,lg2006_001_14400_nb150
-52.87979733333333,-67.80106083333334,lg2006_001_14400_nb150
-52.8916505,-67.78146716666667,lg2006_001_14400_nb150
-52.903532,-67.7618185,lg2006_001_14400_nb150
-52.91538883333333,-67.7419955,lg2006_001_14400_nb150
-52.92720866666667,-67.72195133333334,lg2006_001_14400_nb150
-52.93924083333333,-67.70195716666667,lg2006_001_14400_nb150
-52.951494,-67.68206016666667,lg2006_001_14400_nb150
-52.96380266666667,-67.66208916666666,lg2006_001_14400_nb150
-52.9762775,-67.6418775,lg2006_001_14400_nb150
-52.98882383333333,-67.62156316666666,lg2006_001_14400_nb150
-53.001433833333344,-67.60109166666668,lg2006_001_14400_nb150
-53.014017,-67.58064800000001,lg2006_001_14400_nb150
-53.02668116666667,-67.56018933333334,lg2006_001_14400_nb150
-53.0391595,-67.539325,lg2006_001_14400_nb150
-53.05166883333334,-67.51833483333334,lg2006_001_14400_nb150
-53.06417233333335,-67.49732666666667,lg2006_001_14400_nb150
-53.076679166666665,-67.47621316666667,lg2006_001_14400_nb150
-53.08928183333333,-67.455089,lg2006_001_14400_nb150
-53.10189733333334,-67.43376683333334,lg2006_001_14400_nb150
-53.11452916666666,-67.41249283333333,lg2006_001_14400_nb150
-53.12713370333334,-67.39115942833332,lg2006_001_14400_nb150
-53.13976254166666,-67.36994343500001,lg2006_001_14400_nb150
-53.15242121166666,-67.348633435,lg2006_001_14400_nb150
-53.156532205,-67.34169259333333,lg2006_001_14400_nb150
-53.15657053833333,-67.34161926,lg2006_001_21600_nb150
-53.16930604333334,-67.32020176833333,lg2006_001_21600_nb150
-53.182129376666666,-67.29884592666667,lg2006_001_21600_nb150
-53.195055706666665,-67.27739293,lg2006_001_21600_nb150
-53.20802904000001,-67.25595659999999,lg2006_001_21600_nb150
-53.221116043333325,-67.23450309833333,lg2006_001_21600_nb150
-53.234154376666666,-67.21306809833334,lg2006_001_21600_nb150
-53.247179376666665,-67.19142276166669,lg2006_001_21600_nb150
-53.26013404,-67.16982592666666,lg2006_001_21600_nb150
-53.27303920833334,-67.14841659999999,lg2006_001_21600_nb150
-53.28586904,-67.12715626333333,lg2006_001_21600_nb150
-53.29860587500001,-67.10611575833333,lg2006_001_21600_nb150
-53.311277710000006,-67.08514010166667,lg2006_001_21600_nb150
-53.32393904,-67.06409626333334,lg2006_001_21600_nb150
-53.33644553833333,-67.043113755,lg2006_001_21600_nb150
-53.34885570666667,-67.02230326666668,lg2006_001_21600_nb150
-53.36110737333333,-67.00149309833333,lg2006_001_21600_nb150
-53.373212036666665,-66.98075309833334,lg2006_001_21600_nb150
-53.38514370333333,-66.9606016,lg2006_001_21600_nb150
-53.397013535,-66.94038860333333,lg2006_001_21600_nb150
-53.408927205,-66.92045894,lg2006_001_21600_nb150
-53.42078037,-66.90029143166667,lg2006_001_21600_nb150
-53.43245254166666,-66.88019410833333,lg2006_001_21600_nb150
-53.44413904,-66.86034894,lg2006_001_21600_nb150
-53.44725237333333,-66.85507777833334,lg2006_001_21600_nb150
-53.44733420833334,-66.85496560666668,lg2006_001_28800_nb150
-53.45920553833333,-66.83532027,lg2006_001_28800_nb150
-53.47116887166667,-66.81551377166666,lg2006_001_28800_nb150
-53.48286887166667,-66.79612877166666,lg2006_001_28800_nb150
-53.49430703666668,-66.77707860333334,lg2006_001_28800_nb150
-53.505845201666666,-66.75810877166667,lg2006_001_28800_nb150
-53.51745887166668,-66.73924277833333,lg2006_001_28800_nb150
-53.52901686833333,-66.720257105,lg2006_001_28800_nb150
-53.54039520166666,-66.70139510166668,lg2006_001_28800_nb150
-53.55169003333334,-66.68288394000001,lg2006_001_28800_nb150
-53.56289670000001,-66.66451227333333,lg2006_001_28800_nb150
-53.57387537,-66.646074445,lg2006_001_28800_nb150
-53.584738535,-66.62723244166668,lg2006_001_28800_nb150
-53.59563686833334,-66.60813910833333,lg2006_001_28800_nb150
-53.6063567,-66.58904377166667,lg2006_001_28800_nb150
-53.61685537,-66.57060461333333,lg2006_001_28800_nb150
-53.627568198333336,-66.55314727333332,lg2006_001_28800_nb150
-53.63831037,-66.53556461333332,lg2006_001_28800_nb150
-53.64893503333334,-66.517695775,lg2006_001_28800_nb150
-53.65945653166666,-66.49956261,lg2006_001_28800_nb150
-53.669831531666674,-66.48177611166666,lg2006_001_28800_nb150
-53.68011819833333,-66.46391611166666,lg2006_001_28800_nb150
-53.69026303,-66.44602261,lg2006_001_28800_nb150
-53.69755336666667,-66.43303294666667,lg2006_001_28800_nb150
-53.69758636333333,-66.43297927666667,lg2006_001_36000_nb150
-53.70778353500001,-66.41609495,lg2006_001_36000_nb150
-53.71808819833333,-66.399709445,lg2006_001_36000_nb150
-53.72858336666668,-66.383156785,lg2006_001_36000_nb150
-53.739149865,-66.36632128000001,lg2006_001_36000_nb150
-53.749136363333335,-66.34924111166667,lg2006_001_36000_nb150
-53.75875153166668,-66.33199277833333,lg2006_001_36000_nb150
-53.76840136333333,-66.314763115,lg2006_001_36000_nb150
-53.77812503333333,-66.29750495,lg2006_001_36000_nb150
-53.78780286166666,-66.28037111166667,lg2006_001_36000_nb150
-53.79763119500001,-66.26337978166667,lg2006_001_36000_nb150
-53.807549865000006,-66.24625444499999,lg2006_001_36000_nb150
-53.81725435999999,-66.22906261,lg2006_001_36000_nb150
-53.82697636333334,-66.21119794666667,lg2006_001_36000_nb150
-53.83661486500001,-66.19321094333334,lg2006_001_36000_nb150
-53.84631303,-66.17593094333334,lg2006_001_36000_nb150
-53.85591003333334,-66.15873461333335,lg2006_001_36000_nb150
-53.86533786166667,-66.14148927666666,lg2006_001_36000_nb150
-53.875119865,-66.12477978166667,lg2006_001_36000_nb150
-53.88562336666666,-66.10855328333334,lg2006_001_36000_nb150
-53.89644469666667,-66.09271528666667,lg2006_001_36000_nb150
-53.90701020166667,-66.07777845166666,lg2006_001_36000_nb150
-53.91776020166667,-66.06262978166667,lg2006_001_36000_nb150
