Latitude,Longitude,File_Prefix
-52.77927981,-67.96985143833334,lg2008_365_57600_nb150
-52.78962702166667,-67.95123647000001,lg2008_365_57600_nb150
-52.80002538666666,-67.93295698333334,lg2008_365_57600_nb150
-52.810335355,-67.91497810499999,lg2008_365_57600_nb150
-52.821024265000005,-67.89779929,lg2008_365_57600_nb150
-52.83165199,-67.88044595666666,lg2008_365_57600_nb150
-52.842381445,-67.86333977166667,lg2008_365_57600_nb150
-52.85320589999999,-67.84585259166667,lg2008_365_57600_nb150
-52.86399532333333,-67.82820483500001,lg2008_365_57600_nb150
-52.87481477833334,-67.81047477166666,lg2008_365_57600_nb150
-52.88575311166666,-67.79249534833333,lg2008_365_57600_nb150
-52.89679144500001,-67.77462704666667,lg2008_365_57600_nb150
-52.90784032333335,-67.756548745,lg2008_365_57600_nb150
-52.91882923333333,-67.73833041166668,lg2008_365_57600_nb150
-52.92971974666667,-67.71948762333334,lg2008_365_57600_nb150
-52.94078817500001,-67.70065704666666,lg2008_365_57600_nb150
-52.95188583000001,-67.68149497,lg2008_365_57600_nb150
-52.96322807666667,-67.66223051333334,lg2008_365_57600_nb150
-52.974621410000005,-67.6425266,lg2008_365_57600_nb150
-52.98648195333333,-67.62369156333334,lg2008_365_57600_nb150
-52.99849470666666,-67.60486819333335,lg2008_365_57600_nb150
-53.01060858333334,-67.58575819333333,lg2008_365_57600_nb150
-53.02263699000001,-67.56678993333334,lg2008_365_57600_nb150
-53.03460916333333,-67.54737105666668,lg2008_365_57600_nb150
-53.03744637333334,-67.54239047666667,lg2008_365_57600_nb150
-53.03748583,-67.54232601999999,lg2008_365_64800_nb150
-53.0492142,-67.52184772333334,lg2008_365_64800_nb150
-53.06100141,-67.50136826666667,lg2008_365_64800_nb150
-53.07278749666668,-67.48107551333334,lg2008_365_64800_nb150
-53.08474079333333,-67.46086989666668,lg2008_365_64800_nb150
-53.09680195333334,-67.44076442666668,lg2008_365_64800_nb150
-53.10892804000001,-67.42048884666667,lg2008_365_64800_nb150
-53.12101412666667,-67.40022323000001,lg2008_365_64800_nb150
-53.13314137333333,-67.38004435333335,lg2008_365_64800_nb150
-53.14510858333334,-67.36025435333335,lg2008_365_64800_nb150
-53.15710025,-67.34032319333333,lg2008_365_64800_nb150
-53.169155286666665,-67.32069326666667,lg2008_365_64800_nb150
-53.18118474333334,-67.30083881,lg2008_365_64800_nb150
-53.19315916333333,-67.2808516,lg2008_365_64800_nb150
-53.20513191666667,-67.26110605666668,lg2008_365_64800_nb150
-53.21712858333333,-67.24129823000001,lg2008_365_64800_nb150
-53.22909470666666,-67.22144768666666,lg2008_365_64800_nb150
-53.24107749666667,-67.20174544000001,lg2008_365_64800_nb150
-53.253022496666674,-67.18190823,lg2008_365_64800_nb150
-53.264910830000005,-67.16238323,lg2008_365_64800_nb150
-53.27673862000001,-67.14262323000001,lg2008_365_64800_nb150
-53.28850141000001,-67.12309326666667,lg2008_365_64800_nb150
-53.30031749666667,-67.10368105666666,lg2008_365_64800_nb150
-53.312182496666665,-67.08398986,lg2008_365_64800_nb150
-53.31597753333334,-67.07756384666666,lg2008_365_64800_nb150
-53.316011953333344,-67.07749276000001,lg2008_365_72000_nb150
-53.32769246000001,-67.05789319333334,lg2008_365_72000_nb150
-53.33943749666668,-67.03823544000001,lg2008_365_72000_nb150
-53.35127141,-67.01878268666668,lg2008_365_72000_nb150
-53.36285525,-66.99952108333335,lg2008_365_72000_nb150
-53.37449466666667,-66.98037883333333,lg2008_365_72000_nb150
-53.386086375000005,-66.96135775,lg2008_365_72000_nb150
-53.397598,-66.94248104166667,lg2008_365_72000_nb150
-53.40906525,-66.92351495833333,lg2008_365_72000_nb150
-53.420553041666665,-66.90486441666667,lg2008_365_72000_nb150
-53.431912458333336,-66.88625995833334,lg2008_365_72000_nb150
