Year,TowNumber,TimStart,TimEnd,GridLine,GridStation,LatitudeStart,LongitudeStart,DepthMaximumM,EsuperbaNum,EsuperbaVol,EcrystalNum,EcrystalVol,EfrigidaNum,EfrigidaVol,ThysanoeNum,ThysanoeVol,SalpSolNum,SalpSolVol,SalpAggNum,SalpAggVol,YearDigs,ADCP_StartFile,ADCP_StartIdx,ADCP_EndFile,ADCP_EndIdx,TowID,idx1,idx2,SST
2005,38,1838.143056,1838.159028,600.0,100.0,64.5824,65.3404,125.0,1.327,1.327,5.042,0.796,,,65.021,3.185,0.0,0.0,11.943,4.246,5,lg2005_011_07200_nb150_tim.csv,5095.0,lg2005_011_07200_nb150_tim.csv,6455.0,19,954204.0,955564.0,0.2973843987265158
2005,40,1839.083333,1839.115278,600.0,40.0,64.9419,64.392,120.0,10.447,9.932,0.441,0.221,,,116.678,4.193,0.074,0.007,10.888,3.016,5,lg2005_012_07200_nb150_tim.csv,11.0,lg2005_012_07200_nb150_tim.csv,2730.0,20,1034250.0,1036969.0,0.28886697303666736
2005,42,1839.194444,1839.218056,610.0,35.0,64.9017,64.1868,122.0,33.548,25.776,0.839,1.677,,,154.319,5.214,0.0,0.0,6.29,18.172,5,lg2005_012_14400_nb150_tim.csv,2375.0,lg2005_012_14400_nb150_tim.csv,4385.0,21,1043708.0,1045718.0,-0.060110392840083085
2005,43,1841.935417,1841.956944,600.0,120.0,64.4538,65.6661,120.0,49.442,53.411,0.429,0.107,,,237.773,8.719,0.0,0.0,2.36,8.044,5,lg2005_014_79200_nb150_tim.csv,1607.0,lg2005_014_79200_nb150_tim.csv,3440.0,22,1277067.0,1278900.0,1.5335551287114548
2005,45,1843.15,1843.170139,400.0,80.0,66.0021,67.9526,123.0,22.493,30.126,220.287,17.298,,,148.309,7.241,0.0,0.0,0.0,0.0,5,lg2005_016_07200_nb150_tim.csv,5687.0,lg2005_016_14400_nb150_tim.csv,307.0,23,1380471.0,1382185.0,1.3443520894084084
2005,47,1843.286111,1843.301389,400.0,60.0,66.1263,67.6618,122.0,0.672,0.941,136.364,10.463,,,23.803,1.412,0.0,0.0,2.286,1.479,5,lg2005_016_21600_nb150_tim.csv,3086.0,lg2005_016_21600_nb150_tim.csv,4387.0,24,1392058.0,1393359.0,-0.7100336661332
2005,49,1843.518056,1843.543056,400.0,100.0,65.8666,68.2698,122.0,3.679,5.11,1.431,0.153,,,32.502,1.533,0.0,0.0,0.0,0.0,5,lg2005_016_43200_nb150_tim.csv,1549.0,lg2005_016_43200_nb150_tim.csv,3677.0,25,1411805.0,1413933.0,1.4277930953499653
2005,51,1843.713194,1843.740972,400.0,120.0,65.7573,68.604,120.0,50.318,49.523,0.971,0.132,,,0.441,0.044,0.0,0.0,0.0,0.0,5,lg2005_016_57600_nb150_tim.csv,3973.0,lg2005_016_57600_nb150_tim.csv,6337.0,26,1428417.0,1430781.0,1.2566506694852349
2005,53,1843.917361,1843.938889,400.0,140.0,65.6126,68.8786,123.0,40.502,48.555,0.355,0.118,,,168.522,5.685,0.0,0.0,6.869,14.803,5,lg2005_016_79200_nb150_tim.csv,71.0,lg2005_016_79200_nb150_tim.csv,1904.0,27,1445796.0,1447629.0,1.2051635768813937
2005,55,1844.072917,1844.090278,400.0,160.0,65.4824,69.1964,121.0,0.0,0.0,0.0,0.0,,,8445.935,305.387,2.139,0.972,639.44,1620.012,5,lg2005_017_00000_nb150_tim.csv,6219.0,lg2005_017_07200_nb150_tim.csv,603.0,28,1459038.0,1460516.0,1.1552088122602129
2005,57,1844.190278,1844.208333,400.0,180.0,65.3643,69.4821,131.0,0.194,0.194,0.0,0.0,,,31.202,1.647,8.14,4.264,864.341,1096.899,5,lg2005_017_14400_nb150_tim.csv,2022.0,lg2005_017_14400_nb150_tim.csv,3559.0,29,1469030.0,1470567.0,1.0565588426521082
2005,59,1844.874306,1844.896528,400.0,200.0,65.2449,69.7796,121.0,26.13,34.587,0.252,0.05,,,68.165,3.282,0.0,0.0,15.4,31.305,5,lg2005_017_72000_nb150_tim.csv,3501.0,lg2005_017_72000_nb150_tim.csv,5393.0,30,1527262.0,1529154.0,1.2656146328582825
2005,61,1845.189583,1845.210417,300.0,180.0,65.9879,71.1009,126.0,0.0,0.0,0.0,0.0,,,9.518,1.62,-1.0,-1.0,1200.689,1831.713,5,lg2005_018_14400_nb150_tim.csv,1963.0,lg2005_018_14400_nb150_tim.csv,3736.0,31,1554101.0,1555874.0,1.1326320931965375
2005,63,1845.317361,1845.342361,300.0,200.0,65.8449,71.3892,121.0,0.0,0.0,0.0,0.0,,,3.004,1.001,12.016,1.502,1554.628,1988.206,5,lg2005_018_21600_nb150_tim.csv,5748.0,lg2005_018_28800_nb150_tim.csv,781.0,32,1564979.0,1567107.0,1.2567794739323084
2005,65,1845.829861,1845.850694,300.0,160.0,66.1246,70.7812,120.0,24.307,31.186,0.0,0.0,,,643.917,20.214,0.0,0.0,1.511,2.746,5,lg2005_018_64800_nb150_tim.csv,6811.0,lg2005_018_72000_nb150_tim.csv,1490.0,33,1608607.0,1610380.0,1.4518572904922933
2005,67,1846.022222,1846.053472,300.0,140.0,66.2596,70.4855,121.0,6.096,9.407,0.301,0.151,,,15.578,0.903,0.0,0.0,12.793,29.576,5,lg2005_019_00000_nb150_tim.csv,1904.0,lg2005_019_00000_nb150_tim.csv,4565.0,34,1624982.0,1627643.0,1.4769898572517057
2005,69,1846.169444,1846.192361,300.0,120.0,66.3746,70.1959,124.0,12.913,14.527,0.124,0.062,,,10.926,0.435,0.0,0.0,42.463,37.249,5,lg2005_019_14400_nb150_tim.csv,249.0,lg2005_019_14400_nb150_tim.csv,2199.0,35,1637515.0,1639465.0,1.4305837177525533
2005,71,1846.474306,1846.504167,300.0,100.0,66.5076,69.8993,120.0,5.792,6.715,3.022,0.42,,,11.247,1.091,0.0,0.0,51.2,138.325,5,lg2005_019_36000_nb150_tim.csv,4919.0,lg2005_019_43200_nb150_tim.csv,367.0,36,1663466.0,1666008.0,1.3469694586439924
2005,73,1846.684722,1846.720833,300.0,80.0,66.629,69.5589,120.0,7.523,7.976,26.472,2.659,,,82.64,2.998,0.0,0.0,4.355,22.626,5,lg2005_019_57600_nb150_tim.csv,1550.0,lg2005_019_57600_nb150_tim.csv,4624.0,37,1681378.0,1684452.0,0.6247069376693755
2005,75,1846.888889,1846.913194,300.0,60.0,66.7551,69.2458,121.0,78.2,93.123,10.984,0.895,,,39.518,2.03,0.0,0.0,7.521,32.832,5,lg2005_019_72000_nb150_tim.csv,4743.0,lg2005_019_72000_nb150_tim.csv,6812.0,38,1698759.0,1700828.0,0.491612157812535
2005,77,1847.725,1847.754167,200.0,-20.0,67.9005,69.6155,120.0,1.714,1.353,24.263,1.804,,,22.098,1.173,0.0,0.0,0.18,1.082,5,lg2005_020_57600_nb150_tim.csv,4979.0,lg2005_020_64800_nb150_tim.csv,368.0,39,1769936.0,1772419.0,0.6946533145452147
2005,79,1847.940278,1847.969444,200.0,-40.0,68.0207,69.3077,120.0,0.185,0.093,35.658,1.76,,,17.32,1.667,0.0,0.0,0.185,0.972,5,lg2005_020_79200_nb150_tim.csv,2024.0,lg2005_020_79200_nb150_tim.csv,4508.0,40,1788267.0,1790751.0,0.6583373574774066
2005,81,1849.645833,1849.675694,200.0,-80.0,68.2927,68.6033,121.0,0.204,0.031,462.025,17.168,,,12.03,1.417,0.0,0.0,0.0,0.0,5,lg2005_022_50400_nb150_tim.csv,5362.0,lg2005_022_57600_nb150_tim.csv,809.0,41,1890312.0,1892854.0,-0.04523830122088295
2005,83,1849.836806,1849.870833,200.0,-60.0,68.1523,68.964,123.0,0.146,0.146,23.803,2.27,,,2.124,0.146,0.0,0.0,1.172,0.513,5,lg2005_022_72000_nb150_tim.csv,336.0,lg2005_022_72000_nb150_tim.csv,3232.0,42,1906570.0,1909466.0,1.8973612932800432
2005,85,1850.238194,1850.270833,200.0,40.0,67.5161,70.5727,121.0,15.439,7.719,419.214,35.318,,,82.544,4.265,0.0,0.0,23.769,14.308,5,lg2005_023_14400_nb150_tim.csv,6130.0,lg2005_023_21600_nb150_tim.csv,1814.0,43,1940741.0,1943519.0,-0.057113806358075454
2005,87,1850.596528,1850.624306,200.0,20.0,67.6393,70.254,119.0,80.091,67.686,59.647,4.962,,,56.669,2.779,0.0,0.0,4.565,24.811,5,lg2005_023_50400_nb150_tim.csv,1163.0,lg2005_023_50400_nb150_tim.csv,3528.0,44,1971244.0,1973609.0,-0.2064878659214043
2005,89,1850.833333,1850.859722,200.0,0.0,67.7817,69.9569,125.0,26.529,23.176,25.148,1.775,,,20.118,1.085,0.0,0.0,0.592,2.564,5,lg2005_023_72000_nb150_tim.csv,40.0,lg2005_023_72000_nb150_tim.csv,2287.0,45,1991403.0,1993650.0,-0.305586502058364
2005,92,1853.01875,1853.044444,200.0,60.0,67.3779,70.9059,123.0,5.423,5.326,65.466,6.944,,,61.302,4.397,0.0,0.0,0.097,0.484,5,lg2005_026_00000_nb150_tim.csv,1637.0,lg2005_026_00000_nb150_tim.csv,3824.0,46,2177452.0,2179639.0,-1.285827468006295
2005,94,1853.190278,1853.217361,200.0,80.0,67.2432,71.2286,120.0,3.489,3.877,303.256,29.405,,,422.175,18.957,0.0,0.0,0.0,0.0,5,lg2005_026_14400_nb150_tim.csv,2051.0,lg2005_026_14400_nb150_tim.csv,4357.0,47,2192053.0,2194359.0,-1.0187007657853357
2005,96,1853.547222,1853.571528,200.0,100.0,67.1233,71.5072,120.0,9.867,14.642,0.849,0.318,,,9.655,0.531,0.0,0.0,0.0,0.0,5,lg2005_026_43200_nb150_tim.csv,4061.0,lg2005_026_43200_nb150_tim.csv,6130.0,48,2222439.0,2224508.0,0.8940897745744186
2005,98,1853.738194,1853.765972,200.0,120.0,67.0,71.8445,120.0,13.911,18.595,0.44,0.044,,,52.826,2.465,0.0,0.0,0.0,0.0,5,lg2005_026_57600_nb150_tim.csv,6130.0,lg2005_026_57600_nb150_tim.csv,6775.0,49,2238697.0,2239342.0,1.4368826109401578
2005,100,1853.936806,1853.969444,200.0,140.0,66.8554,72.1291,120.0,14.345,17.051,0.0,0.0,,,722.647,29.704,0.0,0.0,0.88,9.676,5,,,,,50,,,
2005,102,1854.134722,1854.172222,200.0,160.0,66.715,72.4153,122.0,0.456,1.141,0.0,0.0,,,626.177,28.128,14.948,5.626,946.768,2077.155,5,,,,,51,,,
2005,104,1854.686806,1854.707639,200.0,180.0,66.5801,72.7404,121.0,6.915,6.488,0.0,0.0,,,6.032,0.294,0.0,0.0,6.179,10.299,5,,,,,52,,,
2005,106,1854.945139,1854.964583,200.0,200.0,66.436,73.0495,123.0,3.98,5.804,0.0,0.0,,,533.167,17.496,6.302,6.633,55.224,383.914,5,,,,,53,,,
2005,108,1855.518056,1855.543056,300.0,40.0,66.885,68.9172,121.0,23.64,26.324,10.426,0.929,,,27.15,1.652,0.0,0.0,22.091,65.036,5,,,,,54,,,
2005,111,1856.48125,1856.50625,400.0,40.0,66.2618,67.3552,122.0,24.258,19.866,12.338,2.091,,,3.45,0.418,0.0,0.0,3.032,0.471,5,lg2005_029_36000_nb150_tim.csv,3712.0,lg2005_029_43200_nb150_tim.csv,309.0,55,2284588.0,2285763.0,-1.0611417233550213
2005,113,1857.260417,1857.28125,550.0,5.0,65.4854,64.5361,115.0,509.98,377.332,805.299,129.371,,,126.182,8.625,0.0,0.0,0.0,0.0,5,lg2005_030_21600_nb150_tim.csv,562.0,lg2005_030_21600_nb150_tim.csv,1793.0,56,2323146.0,2324377.0,-0.9051060606082088
2006,1,2198.695833,2198.725694,600.0,40.0,64.9331,64.4017,119.0,55.159,54.365,0.0,0.0,,,179.546,12.033,0.0,0.0,0.0,0.0,6,lg2006_006_57600_nb150_tim.csv,2539.0,lg2006_006_57600_nb150_tim.csv,5081.0,57,183451.0,185993.0,1.5022019923971677
2006,3,2198.904861,2198.922917,600.0,60.0,64.8066,64.703,123.0,19.086,28.098,0.0,0.0,,,94.898,6.362,0.0,0.0,0.177,4.506,6,lg2006_006_72000_nb150_tim.csv,6146.0,lg2006_006_79200_nb150_tim.csv,589.0,58,201245.0,202782.0,1.3566314477679293
2006,5,2199.079861,2199.107639,600.0,80.0,64.6883,65.0176,121.0,0.42,0.505,0.0,0.0,,,45.413,3.196,0.0,0.0,0.084,0.547,6,lg2006_007_00000_nb150_tim.csv,6855.0,lg2006_007_07200_nb150_tim.csv,2126.0,59,216142.0,218507.0,1.0637940969295019
2006,7,2199.24375,2199.266667,600.0,100.0,64.5677,65.3399,122.0,0.328,0.328,0.0,0.0,,,325.67,21.373,0.0,0.0,0.0,0.0,6,lg2006_007_14400_nb150_tim.csv,6618.0,lg2006_007_21600_nb150_tim.csv,1476.0,60,230093.0,232044.0,0.9581789617487195
2006,9,2199.484722,2199.5125,600.0,120.0,64.452,65.6491,121.0,4.433,6.565,0.085,0.017,,,105.29,6.411,0.0,0.0,0.085,0.043,6,lg2006_007_36000_nb150_tim.csv,5850.0,lg2006_007_43200_nb150_tim.csv,1121.0,61,250606.0,252970.0,1.6856252290345857
