Latitude,Longitude,File_Prefix
-52.88592333333333,-67.78813166666667,lg2012_365_07200_nb150
-52.895545,-67.77248833333333,lg2012_365_07200_nb150
-52.90522666666666,-67.75676999999999,lg2012_365_07200_nb150
-52.91497,-67.74121833333334,lg2012_365_07200_nb150
-52.92470833333334,-67.72552833333333,lg2012_365_07200_nb150
-52.93451333333334,-67.70974,lg2012_365_07200_nb150
-52.94441,-67.69382,lg2012_365_07200_nb150
-52.95437166666667,-67.67773000000001,lg2012_365_07200_nb150
-52.96454166666667,-67.66146666666667,lg2012_365_07200_nb150
-52.974765000000005,-67.64514833333334,lg2012_365_07200_nb150
-52.984685,-67.62801166666667,lg2012_365_07200_nb150
-52.99476333333333,-67.61069666666667,lg2012_365_07200_nb150
-53.00493166666666,-67.593075,lg2012_365_07200_nb150
-53.01521,-67.575395,lg2012_365_07200_nb150
-53.025625,-67.55783666666666,lg2012_365_07200_nb150
-53.03652,-67.54072666666667,lg2012_365_07200_nb150
-53.04743166666667,-67.52358833333334,lg2012_365_07200_nb150
-53.05846833333333,-67.50626666666666,lg2012_365_07200_nb150
-53.06960166666666,-67.48884,lg2012_365_07200_nb150
-53.08033166666666,-67.47031333333334,lg2012_365_07200_nb150
-53.09105333333334,-67.45164,lg2012_365_07200_nb150
-53.10189833333333,-67.43275833333334,lg2012_365_07200_nb150
-53.11270666666667,-67.41386166666666,lg2012_365_07200_nb150
-53.12363333333333,-67.39497666666666,lg2012_365_07200_nb150
-53.127265,-67.38873666666667,lg2012_365_07200_nb150
-53.12733333333333,-67.38862666666667,lg2012_365_14400_nb150
-53.13840666666667,-67.36978833333333,lg2012_365_14400_nb150
-53.15000333333333,-67.35130666666667,lg2012_365_14400_nb150
-53.16167833333333,-67.33270999999999,lg2012_365_14400_nb150
-53.17340166666666,-67.31390333333333,lg2012_365_14400_nb150
-53.185175,-67.29479333333333,lg2012_365_14400_nb150
-53.197065,-67.275285,lg2012_365_14400_nb150
-53.208935,-67.25575833333333,lg2012_365_14400_nb150
-53.22085500000001,-67.23588833333334,lg2012_365_14400_nb150
-53.23288833333334,-67.21605833333334,lg2012_365_14400_nb150
-53.244915,-67.19634666666667,lg2012_365_14400_nb150
-53.25700666666667,-67.17659666666667,lg2012_365_14400_nb150
-53.26906833333334,-67.15686833333334,lg2012_365_14400_nb150
-53.28108166666666,-67.13687333333333,lg2012_365_14400_nb150
-53.29263666666667,-67.11612666666667,lg2012_365_14400_nb150
-53.30416333333334,-67.09517166666667,lg2012_365_14400_nb150
-53.31577166666667,-67.07419333333333,lg2012_365_14400_nb150
-53.32831333333333,-67.05468,lg2012_365_14400_nb150
-53.34115333333333,-67.03524333333333,lg2012_365_14400_nb150
-53.35374,-67.01567333333334,lg2012_365_14400_nb150
-53.36597833333333,-66.99554499999999,lg2012_365_14400_nb150
-53.37791,-66.97495500000001,lg2012_365_14400_nb150
-53.38972833333333,-66.95433,lg2012_365_14400_nb150
-53.40182333333333,-66.93384499999999,lg2012_365_14400_nb150
-53.40409833333333,-66.93001833333334,lg2012_365_14400_nb150
-53.404135,-66.92995833333333,lg2012_365_21600_nb150
-53.41628833333333,-66.909615,lg2012_365_21600_nb150
-53.42853833333334,-66.88953666666667,lg2012_365_21600_nb150
-53.44082,-66.869355,lg2012_365_21600_nb150
-53.45305,-66.84870333333333,lg2012_365_21600_nb150
-53.46518333333334,-66.82771666666666,lg2012_365_21600_nb150
-53.47725666666667,-66.80694166666666,lg2012_365_21600_nb150
-53.48921166666667,-66.78625500000001,lg2012_365_21600_nb150
-53.50106833333334,-66.76561833333334,lg2012_365_21600_nb150
-53.512905,-66.74494333333334,lg2012_365_21600_nb150
-53.524395,-66.72451166666667,lg2012_365_21600_nb150
-53.53648166666667,-66.703745,lg2012_365_21600_nb150
-53.54873166666667,-66.683415,lg2012_365_21600_nb150
-53.56097666666667,-66.66358333333334,lg2012_365_21600_nb150
-53.57325166666666,-66.64401166666667,lg2012_365_21600_nb150
-53.58556,-66.62449333333333,lg2012_365_21600_nb150
-53.59791166666667,-66.60515500000001,lg2012_365_21600_nb150
-53.60998833333333,-66.58519666666666,lg2012_365_21600_nb150
-53.62185833333334,-66.56508000000001,lg2012_365_21600_nb150
-53.63350833333333,-66.54508833333334,lg2012_365_21600_nb150
-53.64511,-66.52530166666666,lg2012_365_21600_nb150
-53.65661166666667,-66.50545333333334,lg2012_365_21600_nb150
-53.66817666666667,-66.48575666666666,lg2012_365_21600_nb150
-53.67828333333333,-66.46810666666667,lg2012_365_21600_nb150
-53.67831833333334,-66.46804166666666,lg2012_365_28800_nb150
-53.689598333333336,-66.44826666666667,lg2012_365_28800_nb150
-53.70075333333333,-66.42869833333333,lg2012_365_28800_nb150
-53.71205166666667,-66.40929166666666,lg2012_365_28800_nb150
-53.72335333333334,-66.39003166666667,lg2012_365_28800_nb150
-53.73473166666667,-66.371285,lg2012_365_28800_nb150
-53.745815,-66.35282666666667,lg2012_365_28800_nb150
-53.75688666666667,-66.334245,lg2012_365_28800_nb150
-53.767815,-66.31573833333333,lg2012_365_28800_nb150
-53.77868,-66.29733666666667,lg2012_365_28800_nb150
-53.78961166666666,-66.27921166666667,lg2012_365_28800_nb150
-53.80059333333333,-66.26131,lg2012_365_28800_nb150
-53.81095666666667,-66.242835,lg2012_365_28800_nb150
-53.82130666666666,-66.22438666666666,lg2012_365_28800_nb150
-53.83181,-66.20650333333333,lg2012_365_28800_nb150
-53.84236833333333,-66.1891,lg2012_365_28800_nb150
-53.85294833333333,-66.17148833333333,lg2012_365_28800_nb150
-53.86343666666666,-66.15393666666667,lg2012_365_28800_nb150
-53.87391,-66.13633833333333,lg2012_365_28800_nb150
-53.88431166666667,-66.11872666666666,lg2012_365_28800_nb150
-53.89482166666666,-66.10165,lg2012_365_28800_nb150
-53.90486666666666,-66.08373166666667,lg2012_365_28800_nb150
-53.914945,-66.06586166666666,lg2012_365_28800_nb150
-53.92075666666667,-66.05567333333333,lg2012_365_28800_nb150
-53.92082166666667,-66.05555666666666,lg2012_365_36000_nb150
-53.93085333333333,-66.038055,lg2012_365_36000_nb150
-53.9408,-66.02058166666667,lg2012_365_36000_nb150
-53.95067166666666,-66.00375833333334,lg2012_365_36000_nb150
-53.96068166666666,-65.98702666666667,lg2012_365_36000_nb150
-53.97102,-65.97118499999999,lg2012_365_36000_nb150
-53.98137833333333,-65.955135,lg2012_365_36000_nb150
-53.99139166666666,-65.93829666666667,lg2012_365_36000_nb150
-54.001365,-65.9214,lg2012_365_36000_nb150
-54.01085166666667,-65.90431333333333,lg2012_365_36000_nb150
-54.02058166666666,-65.8876,lg2012_365_36000_nb150
-54.030405,-65.87106999999999,lg2012_365_36000_nb150
-54.0403,-65.85445666666666,lg2012_365_36000_nb150
-54.05032666666666,-65.83763333333333,lg2012_365_36000_nb150
-54.06031166666666,-65.820695,lg2012_365_36000_nb150
-54.07030166666666,-65.80360833333333,lg2012_365_36000_nb150
-54.08042666666667,-65.78610666666667,lg2012_365_36000_nb150
-54.09062833333334,-65.76838333333333,lg2012_365_36000_nb150
-54.10113833333333,-65.75056333333333,lg2012_365_36000_nb150
-54.11152833333333,-65.73338000000001,lg2012_365_36000_nb150
-54.121368333333336,-65.71556166666667,lg2012_365_36000_nb150
-54.13104666666667,-65.69721666666666,lg2012_365_36000_nb150
-54.141015,-65.67939166666666,lg2012_365_36000_nb150
-54.14416833333333,-65.67418,lg2012_365_36000_nb150
-54.14420166666667,-65.67412666666667,lg2012_365_43200_nb150
-54.15472,-65.65666333333333,lg2012_365_43200_nb150
-54.16506666666667,-65.63942,lg2012_365_43200_nb150
-54.17549666666667,-65.62193333333333,lg2012_365_43200_nb150
-54.18601833333334,-65.60413,lg2012_365_43200_nb150
-54.196403333333336,-65.58663833333334,lg2012_365_43200_nb150
-54.20710333333334,-65.569765,lg2012_365_43200_nb150
-54.21734666666666,-65.551665,lg2012_365_43200_nb150
-54.22744166666666,-65.53374833333334,lg2012_365_43200_nb150
-54.23764,-65.51573499999999,lg2012_365_43200_nb150
-54.24789333333333,-65.49741999999999,lg2012_365_43200_nb150
-54.25837166666667,-65.479665,lg2012_365_43200_nb150
-54.26922166666667,-65.46215,lg2012_365_43200_nb150
-54.27992166666667,-65.44398166666667,lg2012_365_43200_nb150
-54.29092666666666,-65.4262,lg2012_365_43200_nb150
-54.30171333333333,-65.40809833333333,lg2012_365_43200_nb150
-54.31246833333334,-65.38931333333333,lg2012_365_43200_nb150
-54.32347166666667,-65.37022833333333,lg2012_365_43200_nb150
-54.33466166666667,-65.35153666666666,lg2012_365_43200_nb150
-54.34589666666667,-65.33230833333333,lg2012_365_43200_nb150
-54.35726666666667,-65.31278166666667,lg2012_365_43200_nb150
-54.36845,-65.29275166666666,lg2012_365_43200_nb150
-54.37953166666666,-65.27255,lg2012_365_43200_nb150
-54.38079833333333,-65.270225,lg2012_365_43200_nb150
-54.38083333333334,-65.27016166666667,lg2012_365_50400_nb150
-54.391925,-65.24927,lg2012_365_50400_nb150
-54.40370833333333,-65.22889833333333,lg2012_365_50400_nb150
-54.41619666666666,-65.20894666666666,lg2012_365_50400_nb150
-54.42860666666667,-65.187875,lg2012_365_50400_nb150
-54.44116999999999,-65.16684666666667,lg2012_365_50400_nb150
-54.45379166666667,-65.14645,lg2012_365_50400_nb150
-54.46627333333333,-65.12585666666666,lg2012_365_50400_nb150
-54.47870666666667,-65.10417333333334,lg2012_365_50400_nb150
-54.49120666666666,-65.08156666666666,lg2012_365_50400_nb150
-54.50394333333333,-65.05895666666666,lg2012_365_50400_nb150
-54.51694499999999,-65.03647333333333,lg2012_365_50400_nb150
-54.529880000000006,-65.01348833333333,lg2012_365_50400_nb150
-54.54320833333333,-64.99065999999999,lg2012_365_50400_nb150
-54.55687833333333,-64.96732166666666,lg2012_365_50400_nb150
-54.574940000000005,-64.95995666666667,lg2012_365_50400_nb150
-54.5942,-64.961605,lg2012_365_50400_nb150
-54.61326666666667,-64.96416166666667,lg2012_365_50400_nb150
-54.63293666666666,-64.96546833333333,lg2012_365_50400_nb150
-54.65327166666667,-64.96551,lg2012_365_50400_nb150
-54.67460333333333,-64.9666,lg2012_365_50400_nb150
-54.69643666666666,-64.96768,lg2012_365_50400_nb150
-54.718235,-64.96814499999999,lg2012_365_50400_nb150
-54.722025,-64.96814166666667,lg2012_365_50400_nb150
-54.72216333333333,-64.96817333333334,lg2012_365_57600_nb150
-54.74467333333333,-64.96828666666667,lg2012_365_57600_nb150
-54.76764166666667,-64.96719499999999,lg2012_365_57600_nb150
-54.79039333333333,-64.96633333333334,lg2012_365_57600_nb150
-54.81165333333333,-64.96619666666666,lg2012_365_57600_nb150
-54.83282666666667,-64.966205,lg2012_365_57600_nb150
-54.85375833333333,-64.96651833333334,lg2012_365_57600_nb150
-54.87480833333333,-64.96642,lg2012_365_57600_nb150
-54.89607,-64.965565,lg2012_365_57600_nb150
-54.91645166666667,-64.96560500000001,lg2012_365_57600_nb150
-54.93544,-64.96620666666666,lg2012_365_57600_nb150
-54.95586,-64.96557,lg2012_365_57600_nb150
-54.97813833333333,-64.96533000000001,lg2012_365_57600_nb150
-55.00331,-64.96426833333334,lg2012_365_57600_nb150
-55.03332666666667,-64.95757333333333,lg2012_365_57600_nb150
-55.055625,-64.94887166666666,lg2012_365_57600_nb150
-55.077465,-64.94166,lg2012_365_57600_nb150
