Latitude,Longitude,File_Prefix
-52.88158948333334,-67.79644603333334,lg2014_000_36000_nb150
-52.89121333166666,-67.77946882666666,lg2014_000_36000_nb150
-52.90089097833334,-67.76237461,lg2014_000_36000_nb150
-52.910416665,-67.745065395,lg2014_000_36000_nb150
-52.91996382166667,-67.727660395,lg2014_000_36000_nb150
-52.929581076666665,-67.71021931666667,lg2014_000_36000_nb150
-52.939868331666666,-67.69422657166666,lg2014_000_36000_nb150
-52.95057499833332,-67.678919905,lg2014_000_36000_nb150
-52.96127489999999,-67.66338872833333,lg2014_000_36000_nb150
-52.97199823333334,-67.64779382666666,lg2014_000_36000_nb150
-52.982669311666655,-67.63204421833333,lg2014_000_36000_nb150
-52.993392155,-67.61621147333332,lg2014_000_36000_nb150
-53.00424385333335,-67.60038210666667,lg2014_000_36000_nb150
-53.01525052,-67.58426642666666,lg2014_000_36000_nb150
-53.02632876,-67.56803584,lg2014_000_36000_nb150
-53.03741493333333,-67.55115201333334,lg2014_000_36000_nb150
-53.04800444,-67.53315994666667,lg2014_000_36000_nb150
-53.058235026666665,-67.51402278666666,lg2014_000_36000_nb150
-53.06849777333333,-67.49486436,lg2014_000_36000_nb150
-53.07885110666666,-67.47548670666667,lg2014_000_36000_nb150
-53.0892916,-67.45595954666666,lg2014_000_36000_nb150
-53.09998150666666,-67.43620297333334,lg2014_000_36000_nb150
-53.10249277333334,-67.43159544000001,lg2014_000_36000_nb150
-53.10252601333333,-67.43153994666666,lg2014_000_43200_nb150
-53.11385552,-67.41239886666666,lg2014_000_43200_nb150
-53.125396048333336,-67.393176645,lg2014_000_43200_nb150
-53.13712213,-67.37376588333333,lg2014_000_43200_nb150
-53.14898829999999,-67.35413223,lg2014_000_43200_nb150
-53.161017130000005,-67.33430705333333,lg2014_000_43200_nb150
-53.1731883,-67.314361645,lg2014_000_43200_nb150
-53.18548321166666,-67.29423840000001,lg2014_000_43200_nb150
-53.19791046333334,-67.27389056333334,lg2014_000_43200_nb150
-53.21039330000001,-67.25336614833334,lg2014_000_43200_nb150
-53.22304938166667,-67.23261056333334,lg2014_000_43200_nb150
-53.23578870833333,-67.211729305,lg2014_000_43200_nb150
-53.248596545,-67.19063547500001,lg2014_000_43200_nb150
-53.26150325,-67.16931825,lg2014_000_43200_nb150
-53.27463325,-67.14787325,lg2014_000_43200_nb150
-53.287826,-67.12625558333333,lg2014_000_43200_nb150
-53.30112266666666,-67.10445333333334,lg2014_000_43200_nb150
-53.31448325,-67.082545,lg2014_000_43200_nb150
-53.32792266666666,-67.06043783333334,lg2014_000_43200_nb150
-53.34143875,-67.03810775,lg2014_000_43200_nb150
-53.35506933333333,-67.01555608333334,lg2014_000_43200_nb150
