Latitude,Longitude,File_Prefix
-58.29003666666666,-63.92424499999999,lg2010_000_72000_nb150
-58.31109833333333,-63.91703833333333,lg2010_000_72000_nb150
-58.333115,-63.90950833333334,lg2010_000_72000_nb150
-58.35460333333333,-63.90374666666666,lg2010_000_72000_nb150
-58.37600833333333,-63.89749166666667,lg2010_000_72000_nb150
-58.396955000000005,-63.88928833333333,lg2010_000_72000_nb150
-58.41692166666667,-63.88287333333334,lg2010_000_72000_nb150
-58.43954666666666,-63.87599166666666,lg2010_000_72000_nb150
-58.46129666666667,-63.868465,lg2010_000_72000_nb150
-58.48255,-63.86121166666667,lg2010_000_72000_nb150
-58.50594333333334,-63.85282333333333,lg2010_000_72000_nb150
-58.52660333333333,-63.84564833333334,lg2010_000_72000_nb150
-58.54783833333333,-63.83921666666666,lg2010_000_72000_nb150
-58.568158333333336,-63.83277166666666,lg2010_000_72000_nb150
-58.58863166666666,-63.82612,lg2010_000_72000_nb150
-58.61031833333333,-63.81866333333333,lg2010_000_72000_nb150
-58.63155833333333,-63.81117833333333,lg2010_000_72000_nb150
-58.64354833333334,-63.80706333333333,lg2010_000_72000_nb150
-58.64364499999999,-63.80703333333334,lg2010_000_79200_nb150
-58.663985,-63.80082666666666,lg2010_000_79200_nb150
-58.68369666666667,-63.79486166666667,lg2010_000_79200_nb150
-58.70398833333334,-63.78918,lg2010_000_79200_nb150
-58.72469,-63.78262166666666,lg2010_000_79200_nb150
-58.74456666666666,-63.77432166666666,lg2010_000_79200_nb150
-58.76553333333333,-63.76586999999999,lg2010_000_79200_nb150
-58.785735,-63.75890666666667,lg2010_000_79200_nb150
-58.80746833333333,-63.75261833333333,lg2010_000_79200_nb150
-58.82865666666667,-63.74671833333333,lg2010_000_79200_nb150
-58.84945333333334,-63.73895,lg2010_000_79200_nb150
-58.86975833333333,-63.73177833333333,lg2010_000_79200_nb150
-58.89108166666666,-63.72528333333333,lg2010_000_79200_nb150
-58.911125,-63.71794666666667,lg2010_000_79200_nb150
-58.930225,-63.71088,lg2010_000_79200_nb150
-58.95056666666667,-63.70531166666667,lg2010_000_79200_nb150
-58.96881166666667,-63.69924666666667,lg2010_000_79200_nb150
-58.98603666666666,-63.69340166666667,lg2010_000_79200_nb150
-58.99825500000001,-63.6883,lg2010_000_79200_nb150
-58.998305,-63.688280000000006,lg2010_001_00000_nb150
-59.01578333333333,-63.68206666666666,lg2010_001_00000_nb150
-59.03450333333333,-63.67587666666667,lg2010_001_00000_nb150
-59.05541166666666,-63.66948166666667,lg2010_001_00000_nb150
-59.07481666666666,-63.66359333333333,lg2010_001_00000_nb150
-59.09397666666667,-63.65595166666667,lg2010_001_00000_nb150
-59.11478833333334,-63.65009499999999,lg2010_001_00000_nb150
-59.13142833333333,-63.64472666666666,lg2010_001_00000_nb150
-59.14876833333334,-63.63801833333334,lg2010_001_00000_nb150
-59.16527166666667,-63.63172833333334,lg2010_001_00000_nb150
-59.18155833333334,-63.62698666666667,lg2010_001_00000_nb150
-59.19981,-63.62096999999999,lg2010_001_00000_nb150
-59.22027166666667,-63.61261833333333,lg2010_001_00000_nb150
-59.241575,-63.607063333333336,lg2010_001_00000_nb150
-59.26237666666667,-63.60005833333334,lg2010_001_00000_nb150
-59.28132166666666,-63.59273,lg2010_001_00000_nb150
-59.302575,-63.58579833333334,lg2010_001_00000_nb150
-59.32314,-63.578985,lg2010_001_00000_nb150
-59.34444499999999,-63.57117833333334,lg2010_001_00000_nb150
-59.35919333333333,-63.56573333333333,lg2010_001_00000_nb150
-59.359245,-63.56571333333334,lg2010_001_07200_nb150
-59.37930833333333,-63.559475,lg2010_001_07200_nb150
-59.40021833333334,-63.55323333333333,lg2010_001_07200_nb150
-59.42203166666667,-63.54572666666667,lg2010_001_07200_nb150
-59.44407,-63.53762666666667,lg2010_001_07200_nb150
-59.46617166666667,-63.52974166666666,lg2010_001_07200_nb150
-59.48817166666666,-63.52201666666666,lg2010_001_07200_nb150
-59.510355,-63.51423833333333,lg2010_001_07200_nb150
-59.53275666666666,-63.50774666666667,lg2010_001_07200_nb150
-59.555005,-63.50063333333333,lg2010_001_07200_nb150
-59.57910666666667,-63.492315000000005,lg2010_001_07200_nb150
-59.601130000000005,-63.484365,lg2010_001_07200_nb150
-59.62432666666667,-63.476040000000005,lg2010_001_07200_nb150
-59.64836333333334,-63.46748,lg2010_001_07200_nb150
-59.669228333333336,-63.459480000000006,lg2010_001_07200_nb150
-59.69189333333333,-63.452,lg2010_001_07200_nb150
-59.713475,-63.44410500000001,lg2010_001_07200_nb150
-59.73514833333334,-63.43699833333334,lg2010_001_07200_nb150
-59.73519166666666,-63.43697833333334,lg2010_001_14400_nb150
-59.75618833333333,-63.42996666666666,lg2010_001_14400_nb150
-59.77826833333334,-63.42189666666667,lg2010_001_14400_nb150
-59.80145,-63.41389166666666,lg2010_001_14400_nb150
-59.82443833333333,-63.40731833333334,lg2010_001_14400_nb150
-59.84604166666666,-63.39968333333334,lg2010_001_14400_nb150
-59.86739666666666,-63.39165833333333,lg2010_001_14400_nb150
-59.88967333333333,-63.38425166666666,lg2010_001_14400_nb150
-59.91142666666666,-63.37664833333334,lg2010_001_14400_nb150
-59.93335,-63.36950666666666,lg2010_001_14400_nb150
-59.95508,-63.36234833333334,lg2010_001_14400_nb150
-59.97626333333334,-63.35495333333333,lg2010_001_14400_nb150
-59.99895,-63.34694666666667,lg2010_001_14400_nb150
-60.02091666666666,-63.33884333333334,lg2010_001_14400_nb150
-60.04163666666667,-63.33118666666667,lg2010_001_14400_nb150
-60.062105,-63.32383666666666,lg2010_001_14400_nb150
-60.081495,-63.31662333333333,lg2010_001_14400_nb150
-60.08963666666666,-63.31354333333334,lg2010_001_14400_nb150
-60.089735,-63.313495,lg2010_001_21600_nb150
-60.11124166666666,-63.30611166666666,lg2010_001_21600_nb150
-60.13357833333333,-63.29939,lg2010_001_21600_nb150
-60.156165,-63.29046166666666,lg2010_001_21600_nb150
-60.17791666666667,-63.28303666666667,lg2010_001_21600_nb150
-60.20008666666666,-63.27643666666667,lg2010_001_21600_nb150
-60.22176999999999,-63.26909499999999,lg2010_001_21600_nb150
-60.24432666666666,-63.26141833333333,lg2010_001_21600_nb150
-60.26619833333334,-63.25382,lg2010_001_21600_nb150
-60.287595,-63.24686166666667,lg2010_001_21600_nb150
-60.30942,-63.23922666666667,lg2010_001_21600_nb150
-60.33057666666666,-63.23054166666667,lg2010_001_21600_nb150
-60.35094333333333,-63.22221666666667,lg2010_001_21600_nb150
-60.37171333333333,-63.21458666666667,lg2010_001_21600_nb150
-60.39326166666667,-63.20834166666667,lg2010_001_21600_nb150
-60.41419666666667,-63.20151,lg2010_001_21600_nb150
-60.435605,-63.19384333333333,lg2010_001_21600_nb150
-60.445040000000006,-63.190575,lg2010_001_21600_nb150
-60.44514166666666,-63.190535,lg2010_001_28800_nb150
-60.46723333333333,-63.182545,lg2010_001_28800_nb150
-60.48826833333333,-63.17475333333334,lg2010_001_28800_nb150
-60.51036333333333,-63.16644666666666,lg2010_001_28800_nb150
-60.53097833333333,-63.15804666666666,lg2010_001_28800_nb150
-60.551925,-63.15050666666666,lg2010_001_28800_nb150
-60.572053333333336,-63.14421666666666,lg2010_001_28800_nb150
-60.59336666666667,-63.13776333333333,lg2010_001_28800_nb150
-60.61418666666667,-63.13126833333333,lg2010_001_28800_nb150
-60.63496833333333,-63.124145,lg2010_001_28800_nb150
-60.65732333333333,-63.116040000000005,lg2010_001_28800_nb150
-60.67797166666666,-63.10853333333333,lg2010_001_28800_nb150
